City,Cloudiness(%),Humidity(%),Latitude,Longitude,Temperature(F),Wind Speed(mph)
tawau,75,83,4.25,117.89,77.0,3.36
arkhipo-osipovka,100,96,44.37,38.52,40.96,1.74
sopo,75,63,4.91,-73.94,66.2,16.11
the valley,20,61,18.22,-63.06,81.55,6.93
qaqortoq,75,31,60.72,-46.03,21.2,12.75
lima,96,65,-12.04,-77.03,82.4,10.29
peruibe,100,82,-24.32,-47.0,72.48,16.11
hasaki,75,45,35.73,140.83,47.5,8.05
mirnyy,40,84,62.54,113.96,5.0,2.24
anchorage,90,85,61.22,-149.9,17.06,2.84
mendoza,0,33,-32.89,-68.83,75.2,8.05
ferme-neuve,98,88,46.7,-75.45,31.75,10.33
kodinar,0,57,20.79,70.7,69.08,4.76
tavda,100,92,58.04,65.27,27.88,4.32
maniitsoq,100,87,65.42,-52.9,9.86,12.64
atambua,85,91,-9.11,124.89,75.65,2.95
tucuman,63,56,-26.82,-65.22,69.8,8.55
neryungri,10,79,56.67,124.65,-1.84,3.24
coihaique,0,27,-45.58,-72.07,78.8,3.36
fort nelson,20,46,58.81,-122.7,30.2,13.87
visby,65,62,57.64,18.3,41.32,31.09
camapua,100,94,-19.53,-54.04,67.55,4.56
sayyan,0,26,15.17,44.32,59.43,3.65
shumyachi,100,82,53.86,32.42,35.15,18.54
malinovoye ozero,100,96,51.68,79.78,24.46,10.92
grimshaw,75,75,56.18,-117.6,32.0,24.16
watsa,36,40,3.04,29.54,80.2,4.5
mesesenii de jos,23,84,47.15,22.98,35.85,6.93
dali,54,66,25.7,100.18,45.82,2.55
nizwa,8,44,22.93,57.53,71.65,6.93
sidi ali,0,72,36.1,0.42,54.23,4.07
muisne,40,79,0.6,-80.03,86.0,4.7
mattru,41,63,7.62,-11.83,87.04,10.13
